from,to,arrows
create_template,figure_spreadsheet,to
create_template,references_spreadsheet,to
create_template,table_spreadsheet,to
create_template,full-esp-text-template,to
create_template,partial-esp-text-template,to
create_template,report-card-esp-text-template,to
create_template,template,to
book/,render_AKesp_book,to
render_AKesp_book,SOP,to
esp_traffic,one_pager,to
esp_overall_score,one_pager,to
esp_traffic_tab,one_pager,to
one_pager,one_pager_pdf,to
prep_ind_data,esp_traffic,to
join_order,esp_traffic,to
label_facets,esp_traffic,to
indicator_order,join_order,to
table-child,esp-template,to
figure-child,esp-template,to
render_fig,esp-template,to
render_tab,esp-template,to
render_ref,render_esp,to
use_google_files,render_esp,to
render_fig,figure-child,to
esp_traffic,figure-child,to
esp_overall_score,figure-child,to
references_spreadsheet,render_ref,to
metric_panel,esp_metrics,to
list_indicators,esp-report-card-child,to
figure_spreadsheet,render_esp,to
table_spreadsheet,render_esp,to
full-esp-text-template,render_esp,to
esp-template,render_esp,to
render_esp,ESP_report,to
esp-report-card-child,esp-template,to
partial-esp-text-template,render_esp,to
template,render_esp,to
get_esp_data,check_data,to
check_data,render_esp,to
esp_traffic_tab,table-child,to
