"","type","Year","score","nobs","final"
"1","Ecosystem",1977,1,3,0.333333333333333
"2","Ecosystem",1978,1,3,0.333333333333333
"3","Ecosystem",1979,1,3,0.333333333333333
"4","Ecosystem",1980,1,3,0.333333333333333
"5","Ecosystem",1981,1,3,0.333333333333333
"6","Ecosystem",1982,1,4,0.25
"7","Ecosystem",1983,0,4,0
"8","Ecosystem",1984,0,5,0
"9","Ecosystem",1985,2,6,0.333333333333333
"10","Ecosystem",1986,2,6,0.333333333333333
"11","Ecosystem",1987,2,7,0.285714285714286
"12","Ecosystem",1988,3,6,0.5
"13","Ecosystem",1989,3,6,0.5
"14","Ecosystem",1990,2,9,0.222222222222222
"15","Ecosystem",1991,3,7,0.428571428571429
"16","Ecosystem",1992,5,8,0.625
"17","Ecosystem",1993,4,10,0.4
"18","Ecosystem",1994,5,9,0.555555555555556
"19","Ecosystem",1995,4,9,0.444444444444444
"20","Ecosystem",1996,4,12,0.333333333333333
"21","Ecosystem",1997,3,11,0.272727272727273
"22","Ecosystem",1998,3,11,0.272727272727273
"23","Ecosystem",1999,4,12,0.333333333333333
"24","Ecosystem",2000,6,11,0.545454545454545
"25","Ecosystem",2001,5,12,0.416666666666667
"26","Ecosystem",2002,3,13,0.230769230769231
"27","Ecosystem",2003,4,19,0.210526315789474
"28","Ecosystem",2004,5,17,0.294117647058824
"29","Ecosystem",2005,4,20,0.2
"30","Ecosystem",2006,3,18,0.166666666666667
"31","Ecosystem",2007,4,19,0.210526315789474
"32","Ecosystem",2008,4,18,0.222222222222222
"33","Ecosystem",2009,4,19,0.210526315789474
"34","Ecosystem",2010,2,18,0.111111111111111
"35","Ecosystem",2011,5,20,0.25
"36","Ecosystem",2012,4,18,0.222222222222222
"37","Ecosystem",2013,4,20,0.2
"38","Ecosystem",2014,3,18,0.166666666666667
"39","Ecosystem",2015,5,20,0.25
"40","Ecosystem",2016,4,18,0.222222222222222
"41","Ecosystem",2017,5,20,0.25
"42","Ecosystem",2018,4,18,0.222222222222222
"43","Ecosystem",2019,5,20,0.25
"44","Ecosystem",2020,4,15,0.266666666666667
"45","Socioeconomic",1977,0,0,NA
"46","Socioeconomic",1978,0,0,NA
"47","Socioeconomic",1979,0,0,NA
"48","Socioeconomic",1980,0,0,NA
"49","Socioeconomic",1981,0,0,NA
"50","Socioeconomic",1982,0,0,NA
"51","Socioeconomic",1983,0,0,NA
"52","Socioeconomic",1984,0,0,NA
"53","Socioeconomic",1985,0,0,NA
"54","Socioeconomic",1986,0,0,NA
"55","Socioeconomic",1987,0,0,NA
"56","Socioeconomic",1988,0,0,NA
"57","Socioeconomic",1989,0,0,NA
"58","Socioeconomic",1990,0,0,NA
"59","Socioeconomic",1991,-2,2,-1
"60","Socioeconomic",1992,-2,2,-1
"61","Socioeconomic",1993,-2,2,-1
"62","Socioeconomic",1994,-2,2,-1
"63","Socioeconomic",1995,-2,2,-1
"64","Socioeconomic",1996,-2,3,-0.666666666666667
"65","Socioeconomic",1997,-2,3,-0.666666666666667
"66","Socioeconomic",1998,-2,3,-0.666666666666667
"67","Socioeconomic",1999,-1,6,-0.166666666666667
"68","Socioeconomic",2000,-1,6,-0.166666666666667
"69","Socioeconomic",2001,-1,6,-0.166666666666667
"70","Socioeconomic",2002,-1,6,-0.166666666666667
"71","Socioeconomic",2003,1,8,0.125
"72","Socioeconomic",2004,1,8,0.125
"73","Socioeconomic",2005,1,8,0.125
"74","Socioeconomic",2006,1,8,0.125
"75","Socioeconomic",2007,1,8,0.125
"76","Socioeconomic",2008,1,8,0.125
"77","Socioeconomic",2009,1,8,0.125
"78","Socioeconomic",2010,1,8,0.125
"79","Socioeconomic",2011,1,8,0.125
"80","Socioeconomic",2012,1,8,0.125
"81","Socioeconomic",2013,1,8,0.125
"82","Socioeconomic",2014,1,8,0.125
"83","Socioeconomic",2015,1,8,0.125
"84","Socioeconomic",2016,1,8,0.125
"85","Socioeconomic",2017,1,7,0.142857142857143
"86","Socioeconomic",2018,1,7,0.142857142857143
"87","Socioeconomic",2019,1,7,0.142857142857143
"88","Socioeconomic",2020,1,7,0.142857142857143
